,index,0
0,ACC_ARA,0.014450627920122696 +- 0.00023666801670856969
1,ACC_Y_SD,0.014297860375619972 +- 0.00024849473835379877
2,GYRO_Y_Minimum,0.014265920165797735 +- 0.0002474105101846949
3,ACC_X_Minimum,0.013964376265262049 +- 0.00024557446943998144
4,ACC_Z_AAD,0.013860933109428063 +- 0.0002461127830269291
5,GYRO_Z_AAD,0.013688666419995802 +- 0.00022067654646826476
6,GYRO_Y_AAD,0.013639746764639152 +- 0.00021940099293167673
7,GYRO_Z_SD,0.013627260254411057 +- 0.00023352424531751861
8,ACC_Z_Maximum,0.013619758801131742 +- 0.0002419355002953897
9,GYRO_X_SD,0.01344024339125588 +- 0.00023202959190989414
10,GYRO_ARA,0.01342427980898527 +- 0.0002045983672299908
11,ACC_Z_SD,0.013393112793093782 +- 0.00022734896538922987
12,ACC_Z_SquareAreaUnderCurve,0.013270429948426322 +- 0.00023555884468081758
13,GYRO_Z_SquareAreaUnderCurve,0.01325696985058856 +- 0.0002304359017896226
14,ACC_Y_AAD,0.013256064931148046 +- 0.0002116823814587525
15,ACC_X_SD,0.013113195151142402 +- 0.00023424258691878932
16,GYRO_X_Minimum,0.01307566640435233 +- 0.00023859776252394165
17,GYRO_Z_Maximum,0.012940493229042897 +- 0.00023526314924446492
18,GYRO_Y_SquareAreaUnderCurve,0.012924303645382376 +- 0.0002263746178079175
19,ACC_X_AAD,0.012852764779100093 +- 0.000220741612526489
20,ACC_Y_SquareAreaUnderCurve,0.012834760620415253 +- 0.00023903600135129162
21,GYRO_X_AAD,0.012823159296913833 +- 0.00020932199672863016
22,GYRO_X_Maximum,0.012744991328312404 +- 0.0002492140870472346
23,ACC_X_SquareAreaUnderCurve,0.012669128837154616 +- 0.000240654752365165
24,GYRO_Y_SD,0.01259307213594843 +- 0.00021852310293886618
25,ACC_Y_Maximum,0.01252383826026659 +- 0.00022982910602809673
26,ACC_Y_IQR,0.012498695615503402 +- 0.00023751536152782067
27,GYRO_Y_Maximum,0.012290697379804892 +- 0.00024928023215876985
28,GYRO_Y_IQR,0.012269699461958477 +- 0.00023321405856653265
29,GYRO_X_SquareAreaUnderCurve,0.01226189873419052 +- 0.0002213052746145203
30,ACC_Z_IQR,0.012096597037177814 +- 0.00023170282716288674
31,ACC_Z_Minimum,0.01202221572157377 +- 0.00023478509838027316
32,ACC_X_Maximum,0.011912723783008786 +- 0.00022498960564782642
33,GYRO_Z_IQR,0.011779928509279284 +- 0.00022388174185217663
34,GYRO_X_IQR,0.011669828506138765 +- 0.00021802901507572483
35,ACC_Y_Minimum,0.011491524934239364 +- 0.00021387264560946784
36,GYRO_Z_Minimum,0.01140064822226986 +- 0.00020575516412539653
37,ACC_Z_Average,0.011314946470429922 +- 0.00022557917067315427
38,ACC_Z_AreaUnderCurve,0.011307956327156813 +- 0.000225514707800745
39,ACC_X_IQR,0.01126074785370288 +- 0.00021706297466598577
40,ACC_X_Skew,0.010627617503247602 +- 0.00022426257975388731
41,GYRO_Y_Skew,0.010362578358546579 +- 0.00021905086310352435
42,ACC_Z_Median,0.010223831228161092 +- 0.00021723268013332933
43,ACC_X_Median,0.009714625465465657 +- 0.00020814739821168953
44,ACC_X_Kurtosis,0.00940560542679301 +- 0.00021099092976781554
45,ACC_X_AreaUnderCurve,0.009032515473781401 +- 0.00019054323134506574
46,ACC_Y_AreaUnderCurve,0.009025719872415842 +- 0.00021505672430162368
47,ACC_Y_Average,0.009015043905248364 +- 0.00021489219646361036
48,ACC_X_Average,0.009000178796420531 +- 0.00019000127789018924
49,GYRO_Y_Kurtosis,0.008198596307959587 +- 0.00020421552578208957
50,ACC_Y_Median,0.00816491862877752 +- 0.0002109443191188633
51,ACC_Y_Skew,0.008016629550141348 +- 0.00019413364886825327
52,GYRO_Z_Average,0.007903757724001413 +- 0.0001849427445807706
53,GYRO_Z_AreaUnderCurve,0.007885461887765323 +- 0.00018474240624114757
54,GYRO_Y_Average,0.007871198584919584 +- 0.0001772630127994614
55,GYRO_Y_AreaUnderCurve,0.007855813567582722 +- 0.0001770556655646432
56,GYRO_Z_Kurtosis,0.007656788454824893 +- 0.00019498527551368235
57,GYRO_X_Median,0.007429459121429755 +- 0.00019239115697868166
58,ACC_Z_Skew,0.007366036967722555 +- 0.00018837332667824598
59,ACC_Y_Kurtosis,0.007361434082707636 +- 0.0001796437543074088
60,GYRO_X_AreaUnderCurve,0.007259054867013521 +- 0.00018091330595155754
61,GYRO_X_Average,0.007240444412868404 +- 0.0001806351195879124
62,GYRO_X_Skew,0.0071514302303753285 +- 0.0001820699553523542
63,GYRO_Z_Median,0.007050735035544582 +- 0.00018523585087729135
64,GYRO_Y_Median,0.006947219700625309 +- 0.00018225616415292785
65,GYRO_Z_Skew,0.0067306604578619075 +- 0.00016834453537254319
66,ACC_Z_Kurtosis,0.006634275533075569 +- 0.00018457189265176662
67,GYRO_X_Kurtosis,0.006335444595180014 +- 0.0001739845483985515
